Learning rate;L2;Accuracy;Precision;Recall;F1;Confusion matrix
4.905461058296824E-4;0.014683289771145362;0.72092;0.7233681145353069;0.71544;0.7193822145356553;0:,,Predicted Class,,,0,1,TotalActual Class,0,9080,3420,12500,1,3557,8943,12500,Total,12637,12363,
2.320142915244197E-4;0.07539451427282828;0.5;0.5;1.0;0.6666666666666666;0:,,Predicted Class,,,0,1,TotalActual Class,0,0,12500,12500,1,0,12500,12500,Total,0,25000,
1.7427194845687512E-4;0.0854739519141383;0.49996;0.47368421052631576;7.2E-4;0.0014378145219266715;0:,,Predicted Class,,,0,1,TotalActual Class,0,12490,10,12500,1,12491,9,12500,Total,24981,19,
5.022742728558383E-6;0.004571183289352592;0.69352;0.6918623096446701;0.69784;0.6948382985502629;0:,,Predicted Class,,,0,1,TotalActual Class,0,8615,3885,12500,1,3777,8723,12500,Total,12392,12608,
1.4591021363243836E-6;0.020167086023101664;0.61904;0.6010594947025265;0.708;0.6501616220981488;0:,,Predicted Class,,,0,1,TotalActual Class,0,6626,5874,12500,1,3650,8850,12500,Total,10276,14724,
2.7396217813989223E-5;5.912784450617462E-4;0.72296;0.7515797075284347;0.66608;0.7062515904656884;0:,,Predicted Class,,,0,1,TotalActual Class,0,9748,2752,12500,1,4174,8326,12500,Total,13922,11078,
1.739822116205376E-5;0.0011308074188562647;0.72148;0.7370088177382074;0.68872;0.7120466481948639;0:,,Predicted Class,,,0,1,TotalActual Class,0,9428,3072,12500,1,3891,8609,12500,Total,13319,11681,
8.089691669562564E-7;0.041459662254956314;0.5524;0.5498023114355232;0.57848;0.5637767035708717;0:,,Predicted Class,,,0,1,TotalActual Class,0,6579,5921,12500,1,5269,7231,12500,Total,11848,13152,
5.151172956996919E-4;0.001982392890661958;0.73632;0.7448607427055703;0.71888;0.7316397980784889;0:,,Predicted Class,,,0,1,TotalActual Class,0,9422,3078,12500,1,3514,8986,12500,Total,12936,12064,
4.034893690379066E-8;0.0010878173294364543;0.50616;0.5119195046439629;0.26456;0.3488396624472574;0:,,Predicted Class,,,0,1,TotalActual Class,0,9347,3153,12500,1,9193,3307,12500,Total,18540,6460,
0.007659074900005677;3.456098814442667E-5;0.74892;0.7488602735343518;0.74904;0.7489501259848819;0:,,Predicted Class,,,0,1,TotalActual Class,0,9360,3140,12500,1,3137,9363,12500,Total,12497,12503,
5.750928191745513E-5;5.199381723521796E-4;0.72492;0.772828723920427;0.63712;0.6984433238324929;0:,,Predicted Class,,,0,1,TotalActual Class,0,10159,2341,12500,1,4536,7964,12500,Total,14695,10305,
3.740350499113629E-8;3.408322118611192E-5;0.5058;0.5114047506685544;0.26008;0.3448056424669884;0:,,Predicted Class,,,0,1,TotalActual Class,0,9394,3106,12500,1,9249,3251,12500,Total,18643,6357,
